company_name,category,website,career_page,career_page_status,career_page_source,skip,skip_reason,company_stage,industry,placement_count
Independence Pet Holdings,Top Targets,https://www.independencepetgroup.com,,,,false,,Private (PE-backed),Insurance,3
Infoblox,Top Targets,http://www.infoblox.com,,,,false,,Private (PE-backed),Security,5
InformData,Top Targets,https://www.informdata.com/,,,,false,,Private (PE-backed),Analytics/Data,3
InMarket,Top Targets,http://www.inmarket.com,,,,false,,Private,Advertising,4
Inseego,Top Targets,http://www.inseego.com,,,,false,,Public,Information Technology and Services,3
Insightsoftware,Top Targets,https://www.insightsoftware.com,,,,false,,Private (PE-backed),Computer Software,4
Lantern,Top Targets,https://lanterncare.com,,,,false,,Private,Health Tech,3
Life360,Top Targets,http://www.life360.com,,,,false,,Public,Social,14
LinkedIn,Top Targets,https://www.linkedin.com,,,,false,,Private (Microsoft subsidiary),Other,4
LogicMonitor,Top Targets,http://www.logicmonitor.com,,,,false,,Private (PE-backed),Analytics/Data,4
Lytx,Top Targets,http://www.lytx.com,,,,false,,Private (PE-backed),Logistics,4
McAfee,Top Targets,http://www.mcafee.com,,,,false,,Private (PE-backed),Security,10
Merative,Top Targets,https://www.merative.com,,,,false,,Private (PE-backed),Hospital & Health Care,3
Model N,Top Targets,http://www.modeln.com,,,,false,,Private (PE-backed),Analytics/Data,6
Move,Top Targets,http://www.move.com,,,,false,,Private (News Corp subsidiary),Real Estate,4
NetDocuments,Top Targets,http://netdocuments.com,,,,false,,Private (PE-backed),Content & Data Management,4
Nielsen,Top Targets,https://www.nielsen.com,,,,false,,Private (PE-backed),Media Production,3
Octus (fka Reorg),Top Targets,https://octus.com,,,,false,,Private (PE-backed),Analytics/Data,3
Okta,Top Targets,http://www.okta.com,,,,false,,Public,Security,16
Oracle,Top Targets,https://www.oracle.com/,,,,false,,Public,Computer Software,6
PagerDuty,Top Targets,http://www.pagerduty.com,,,,false,,Public,DevOps & Infrastructure,5
Palo Alto Networks,Top Targets,http://www.paloaltonetworks.com,,,,false,,Public,Other,3
Panasonic Avionics,Top Targets,http://www.panasonic.aero,,,,false,,Private (Subsidiary),Aerospace,11
PayPal,Top Targets,https://www.paypal.com/home,,,,false,,Public,FinTech,12
PDI Technologies,Top Targets,https://pditechnologies.com,,,,false,,Private (PE-backed),Computer Software,3
PracticeTek,Top Targets,https://practicetek.com,,,,false,,Private (PE-backed),"Health, Wellness and Fitness",3
Real Chemistry,Top Targets,https://www.realchemistry.com,,,,false,,Private (PE-backed),Health Tech,4
Redfin,Top Targets,https://www.redfin.com/,,,,false,,Private (Subsidiary),Consumer App,5
Redpin (fka Currencies Direct),Top Targets,https://www.redpincompany.com,,,,false,,Private (PE-backed),FinTech,7
ResMed,Top Targets,http://www.resmed.com,,,,false,,Public,Health Tech,3
Revolution Medicines,Top Targets,https://www.revmed.com,,,,false,,Public,Biotechnology,3
Sonos  DO NOT REPRESENT,Top Targets,http://www.sonos.com,,,,false,,#N/A,Consumer Goods,3
Standard Industries,Top Targets,https://www.standardindustries.com,,,,false,,Private,Energy,10
Storable,Top Targets,https://www.storable.com/,,,,false,,Private (PE-backed),Other,5
Superbet Group,Top Targets,https://superbetgroup.com,,,,false,,Private (PE-backed),Gaming,8
Tempo,Top Targets,https://www.tempo.io,,,,false,,Private (PE-backed),Content & Data Management,3
Ten-X (fka Auction.com),Top Targets,http://ten-x.com/,,,,false,,Private (Subsidiary),eCommerce & Marketplace,6
The Aspen Group,Top Targets,https://www.teamtag.com,,,,false,,Private (PE-backed),Health Tech,6
The New York Times,Top Targets,https://www.nytimes.com,,,,false,,Public,Media & Entertainment,7
Trellix,Top Targets,http://www.trellix.com,,,,false,,Private (PE-backed),Security,10
Tricentis,Top Targets,https://tricentis.com,,,,false,,Private (PE-backed),Other,4
TrueCommerce,Top Targets,http://www.truecommerce.com,,,,false,,Private (PE-backed),Logistics,4
TubeMogul,Top Targets,https://advertising.adobe.com,,,,false,,Private (Acquired),Advertising,10
Twilio,Top Targets,https://www.twilio.com/,,,,false,,Public,Telecom,7
Uber,Top Targets,http://www.uber.com,,,,false,,Public,On-Demand Services,21
Upwork,Top Targets,https://www.upwork.com,,,,false,,Public,HR & Workforce Management,16
Vista Equity Partners,Top Targets,https://www.vistaequitypartners.com,,,,false,,Private (PE firm),Private Equity,4
Waymo,Top Targets,https://waymo.com,,,,false,,Private (Alphabet subsidiary),Internet of Things & Robotics,8
Weight Watchers,Top Targets,https://www.weightwatchers.com,,,,false,,Public,Health Tech,5
Wendy's,Top Targets,https://www.wendys.com,,,,false,,Public,On-Demand Services,4
Xero Inc,Top Targets,http://xero.com,,,,false,,Public,FinTech,9
Yahoo! Inc,Top Targets,http://www.yahoo.com,,,,false,,Private,Search,5
